,term_id,term_rank,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,term_rank2,p,zipf_k,zipf_k2,zipf_k3,df,idf,tfidf_sum
5356,10469,5357,rights,3,0,0,right,right,right,NN,359,0.0002117148906139,16071,1077,0.0760056457304163,2,0.17609125905568124,7.43566952925744e-05
9025,13926,9026,windpipes,1,0,0,windpip,windpip,windpip,NN,361,7.057163020465773e-05,9026,361,0.0254763585038814,2,0.17609125905568124,7.33939062871493e-05
1507,904,1508,aunt,18,0,0,aunt,aunt,aunt,NN,344,0.0012702893436838,27144,6192,0.4369795342272407,1,0.47712125471966244,7.136124061017985e-05
7987,6785,7988,ivy,2,0,0,ivi,ivi,ivy,NN,360,0.0001411432604093,15976,720,0.0508115737473535,1,0.47712125471966244,7.136124061017985e-05
7756,3778,7757,dowagers,2,0,0,dowag,dowag,dow,RB,360,0.0001411432604093,15514,720,0.0508115737473535,1,0.47712125471966244,6.788299036832871e-05
9967,13332,9968,untied,1,0,0,unti,unti,unty,NN,361,7.057163020465773e-05,9968,361,0.0254763585038814,1,0.47712125471966244,6.788299036832871e-05
11308,3318,11309,demoralise,1,0,0,demoralis,demoralis,dem,NN,361,7.057163020465773e-05,11309,361,0.0254763585038814,1,0.47712125471966244,6.788299036832871e-05
12141,4134,12142,emigrated,1,0,0,emigr,emigr,emigr,NNS,361,7.057163020465773e-05,12142,361,0.0254763585038814,1,0.47712125471966244,6.788299036832871e-05
1752,12491,1753,tear,15,0,0,tear,tear,tear,NN,347,0.0010585744530698,26295,5205,0.3673253352152434,2,0.17609125905568124,6.741721406086624e-05
2408,10538,2409,roi,10,0,0,roi,roi,roi,VBN,352,0.0007057163020465,24090,3520,0.2484121383203952,2,0.17609125905568124,6.696335741973098e-05
1974,11617,1975,sorrows,13,0,0,sorrow,sorrow,sorrow,NN,349,0.0009174311926605,25675,4537,0.3201834862385321,2,0.17609125905568124,6.696194084305976e-05
7712,2544,7713,concluded,2,0,0,conclud,conclud,conclud,NN,360,0.0001411432604093,15426,720,0.0508115737473535,1,0.47712125471966244,6.676717322252341e-05
10944,1979,10945,censers,1,0,0,censer,censer,cens,RB,361,7.057163020465773e-05,10945,361,0.0254763585038814,1,0.47712125471966244,6.676717322252341e-05
8915,12107,8916,stumbling,1,0,0,stumbl,stumbl,stumbl,NN,361,7.057163020465773e-05,8916,361,0.0254763585038814,2,0.17609125905568124,6.659539768593226e-05
2407,11846,2408,staring,10,0,0,stare,stare,star,NN,352,0.0007057163020465,24080,3520,0.2484121383203952,2,0.17609125905568124,6.513166684451872e-05
11284,3471,11285,dice,1,0,0,dice,dice,dic,NN,361,7.057163020465773e-05,11285,361,0.0254763585038814,2,0.17609125905568124,6.387542907606115e-05
5300,7463,5301,lucidity,3,0,0,lucid,lucid,lucid,NN,359,0.0002117148906139,15903,1077,0.0760056457304163,1,0.47712125471966244,6.373230171240871e-05
5617,10621,5618,ruins,3,0,0,ruin,ruin,ruin,JJ,359,0.0002117148906139,16854,1077,0.0760056457304163,1,0.47712125471966244,6.373230171240871e-05
11300,3331,11301,dents,1,0,0,dent,dent,dent,NN,361,7.057163020465773e-05,11301,361,0.0254763585038814,2,0.17609125905568124,6.257380564349004e-05
189,8188,190,myself,230,0,1,myself,myself,myself,NN,168,0.0162314749470712,43700,38640,2.7268877911079747,1,0.47712125471966244,6.222607450430133e-05
3740,2487,3741,compelled,5,0,0,compel,compel,compel,NN,357,0.0003528581510232,18705,1785,0.125970359915314,1,0.47712125471966244,6.222607450430133e-05
2612,11976,2613,stopping,9,0,0,stop,stop,stop,JJ,353,0.0006351446718419,23517,3177,0.2242060691601976,2,0.17609125905568124,6.168065318794069e-05
7954,6088,7955,honeycombed,2,0,0,honeycomb,honeycomb,honeycomb,NN,360,0.0001411432604093,15910,720,0.0508115737473535,2,0.17609125905568124,6.105981471707246e-05
10042,13018,10043,troughs,1,0,0,trough,trough,trough,VBD,361,7.057163020465773e-05,10043,361,0.0254763585038814,2,0.17609125905568124,6.0974086851534905e-05
4392,4888,4393,flaring,4,0,0,flare,flare,flar,RB,358,0.0002822865208186,17572,1432,0.1010585744530698,2,0.17609125905568124,6.0842631585075415e-05
1276,11250,1277,sighed,23,0,0,sigh,sigh,sigh,JJ,339,0.0016231474947071,29371,7797,0.5502470007057163,2,0.17609125905568124,6.053790714453168e-05
766,13852,767,whitby,43,0,0,whitbi,whitbi,whitby,NN,319,0.0030345800988002,32981,13717,0.96803105151729,2,0.17609125905568124,6.038395930578961e-05
276,4387,277,everything,142,0,0,everyth,everyth,everyth,JJ,222,0.0100211714890613,39334,31524,2.22470007057163,1,0.47712125471966244,5.946770050848321e-05
1676,2062,1677,charge,16,0,0,charg,charg,charg,NN,346,0.0011291460832745,26832,5536,0.3906845448129852,2,0.17609125905568124,5.906783017602688e-05
4638,12255,4639,supernatural,4,0,0,supernatur,supernatur,supern,JJ,358,0.0002822865208186,18556,1432,0.1010585744530698,2,0.17609125905568124,5.80822068615108e-05
7686,13492,7687,vicious,2,0,0,viciou,vicious,vicy,JJ,360,0.0001411432604093,15374,720,0.0508115737473535,1,0.47712125471966244,5.656915864027393e-05
11330,3392,11331,desisted,1,0,0,desist,desist,desist,NN,361,7.057163020465773e-05,11331,361,0.0254763585038814,1,0.47712125471966244,5.656915864027393e-05
3028,9689,3029,protested,7,0,0,protest,protest,protest,NN,355,0.0004940014114326,21203,2485,0.1753705010585744,2,0.17609125905568124,5.55665013049153e-05
2047,8490,2048,occur,12,0,0,occur,occur,occ,NN,350,0.0008468595624558,24576,4200,0.2964008468595625,1,0.47712125471966244,5.462768718206461e-05
11818,4273,11819,enthusiastically,1,0,0,enthusiast,enthusiast,enthusiast,NN,361,7.057163020465773e-05,11819,361,0.0254763585038814,2,0.17609125905568124,5.46037122994902e-05
11305,3321,11306,demurely,1,0,0,demur,demur,dem,VBG,361,7.057163020465773e-05,11306,361,0.0254763585038814,2,0.17609125905568124,5.46037122994902e-05
6599,11289,6600,simile,2,0,0,simil,simil,simil,NN,360,0.0001411432604093,13200,720,0.0508115737473535,2,0.17609125905568124,5.4579233589189055e-05
1409,1719,1410,burst,20,0,0,burst,burst,burst,NN,342,0.0014114326040931,28200,6840,0.4827099505998589,2,0.17609125905568124,5.4533961837344994e-05
8183,12311,8184,survival,2,0,0,surviv,surviv,surv,VBD,360,0.0001411432604093,16368,720,0.0508115737473535,2,0.17609125905568124,5.40135847537449e-05
10545,4860,10546,fitter,1,0,0,fitter,fitter,fit,NN,361,7.057163020465773e-05,10546,361,0.0254763585038814,2,0.17609125905568124,5.379470209100818e-05
7663,4185,7664,encrusted,2,0,0,encrust,encrust,encrust,VBD,360,0.0001411432604093,15328,720,0.0508115737473535,1,0.47712125471966244,5.352093045763488e-05
8896,137,8897,abusing,1,0,0,abus,abus,abus,NNS,361,7.057163020465773e-05,8897,361,0.0254763585038814,2,0.17609125905568124,5.256764475873285e-05
491,10988,492,sent,71,0,0,sent,sent,sent,NN,291,0.0050105857445306,34932,20661,1.4580804516584334,2,0.17609125905568124,5.237148249281765e-05
1829,13751,1830,weather,14,0,0,weather,weather,weath,NN,348,0.0009880028228652,25620,4872,0.3438249823570924,2,0.17609125905568124,5.159992620288772e-05
6165,1061,6166,barred,2,0,0,bar,bar,bar,NN,360,0.0001411432604093,12332,720,0.0508115737473535,1,0.47712125471966244,5.1592815671949915e-05
10724,2361,10725,cobble,1,0,0,cobbl,cobbl,cobbl,VBD,361,7.057163020465773e-05,10725,361,0.0254763585038814,1,0.47712125471966244,5.1592815671949915e-05
11710,2770,11711,core,1,0,0,core,core,cor,NNS,361,7.057163020465773e-05,11711,361,0.0254763585038814,1,0.47712125471966244,5.1592815671949915e-05
2471,7663,2472,marred,9,0,0,mar,mar,mar,NNPS,353,0.0006351446718419,22248,3177,0.2242060691601976,1,0.47712125471966244,5.0912242776246545e-05
5685,13405,5686,valuable,3,0,0,valuabl,valuabl,valu,NN,359,0.0002117148906139,17058,1077,0.0760056457304163,1,0.47712125471966244,5.0912242776246545e-05
9195,12888,9196,trail,1,0,0,trail,trail,trail,NNS,361,7.057163020465773e-05,9196,361,0.0254763585038814,1,0.47712125471966244,5.0912242776246545e-05
4833,10748,4834,satisfy,4,0,0,satisfi,satisfi,satisfy,NN,358,0.0002822865208186,19336,1432,0.1010585744530698,1,0.47712125471966244,5.0912242776246545e-05
8030,6306,8031,imitate,2,0,0,imit,imit,imit,NN,360,0.0001411432604093,16062,720,0.0508115737473535,2,0.17609125905568124,5.0535090191724304e-05
12239,9070,12240,perspective,1,0,0,perspect,perspect,perspect,NN,361,7.057163020465773e-05,12240,361,0.0254763585038814,2,0.17609125905568124,5.035824926115128e-05
2370,7694,2371,masses,10,0,0,mass,mass,mass,NN,352,0.0007057163020465,23710,3520,0.2484121383203952,2,0.17609125905568124,4.897882970860407e-05
1346,8945,1347,pay,21,0,0,pay,pay,pay,NN,341,0.0014820042342978,28287,7161,0.505363443895554,1,0.47712125471966244,4.855794416183521e-05
2966,11881,2967,staying,7,0,0,stay,stay,stay,NN,355,0.0004940014114326,20769,2485,0.1753705010585744,1,0.47712125471966244,4.855794416183521e-05
12900,10034,12901,recklessly,1,0,0,recklessli,reckless,reckless,NN,361,7.057163020465773e-05,12901,361,0.0254763585038814,1,0.47712125471966244,4.855794416183521e-05
6240,1079,6241,baskets,2,0,0,basket,basket,basket,JJ,360,0.0001411432604093,12482,720,0.0508115737473535,1,0.47712125471966244,4.855794416183521e-05
10784,1981,10785,census,1,0,0,censu,census,cens,NN,361,7.057163020465773e-05,10785,361,0.0254763585038814,1,0.47712125471966244,4.855794416183521e-05
3216,453,3217,altar,7,0,0,altar,altar,alt,NN,355,0.0004940014114326,22519,2485,0.1753705010585744,1,0.47712125471966244,4.855794416183521e-05
7925,12402,7926,symptoms,2,0,0,symptom,symptom,symptom,NNS,360,0.0001411432604093,15852,720,0.0508115737473535,2,0.17609125905568124,4.8554267415920526e-05
12975,9483,12976,prejudge,1,0,0,prejudg,prejudg,prejudg,NN,361,7.057163020465773e-05,12976,361,0.0254763585038814,2,0.17609125905568124,4.832410907567254e-05
3150,6010,3151,highest,7,0,0,highest,highest,highest,NN,355,0.0004940014114326,22057,2485,0.1753705010585744,2,0.17609125905568124,4.780038806012261e-05
7949,6523,7950,ingress,2,0,0,ingress,ingress,ingress,JJ,360,0.0001411432604093,15900,720,0.0508115737473535,1,0.47712125471966244,4.757416040678656e-05
2566,12315,2567,suspect,9,0,0,suspect,suspect,suspect,NN,353,0.0006351446718419,23103,3177,0.2242060691601976,1,0.47712125471966244,4.757416040678656e-05
7336,12906,7337,transfer,2,0,0,transfer,transfer,transf,RB,360,0.0001411432604093,14674,720,0.0508115737473535,1,0.47712125471966244,4.757416040678656e-05
1457,4711,1458,fearful,19,0,0,fear,fear,fear,VBN,343,0.0013408609738884,27702,6517,0.4599153140437544,1,0.47712125471966244,4.757416040678656e-05
12149,4018,12150,eddies,1,0,0,eddi,eddi,eddy,JJ,361,7.057163020465773e-05,12150,361,0.0254763585038814,2,0.17609125905568124,4.7301145754873835e-05
400,5421,401,given,89,0,0,given,given,giv,UH,273,0.0062808750882145,35689,24297,1.714678899082569,2,0.17609125905568124,4.648748895004025e-05
12602,8717,12603,overpower,1,0,0,overpow,overpow,overpow,RB,361,7.057163020465773e-05,12603,361,0.0254763585038814,2,0.17609125905568124,4.618276450949651e-05
9120,12070,9121,strode,1,0,0,strode,strode,strode,NN,361,7.057163020465773e-05,9121,361,0.0254763585038814,1,0.47712125471966244,4.5523072651720514e-05
585,3105,586,danger,57,0,0,danger,danger,dang,NN,305,0.0040225829216654,33402,17385,1.2268877911079747,1,0.47712125471966244,4.5523072651720514e-05
132,13725,133,way,333,0,0,way,way,way,JJ,127,0.023500352858151,44289,42291,2.98454481298518,2,0.17609125905568124,4.544843431357972e-05
1931,12429,1932,takes,13,0,0,take,take,tak,NN,349,0.0009174311926605,25116,4537,0.3201834862385321,1,0.47712125471966244,4.5255326912219144e-05
13959,7698,13960,mastered,1,0,0,master,master,mast,NN,361,7.057163020465773e-05,13960,361,0.0254763585038814,1,0.47712125471966244,4.5255326912219144e-05
7504,3620,7505,dispelled,2,0,0,dispel,dispel,dispel,NN,360,0.0001411432604093,15010,720,0.0508115737473535,1,0.47712125471966244,4.5255326912219144e-05
0,12579,1,the,16749,0,1,the,the,the,CD,1,1.1820042342978123,16749,16749,1.1820042342978123,2,0.17609125905568124,4.506268373337951e-05
7692,13483,7693,vexed,2,0,0,vex,vex,vex,NN,360,0.0001411432604093,15386,720,0.0508115737473535,2,0.17609125905568124,4.491032151310764e-05
12466,8521,12467,offering,1,0,0,offer,offer,off,NN,361,7.057163020465773e-05,12467,361,0.0254763585038814,2,0.17609125905568124,4.353078804829096e-05
1535,9654,1536,property,18,0,0,properti,properti,property,JJ,344,0.0012702893436838,27648,6192,0.4369795342272407,2,0.17609125905568124,4.3226063607747225e-05
6856,8998,6857,penniless,2,0,0,penniless,penniless,penniless,NN,360,0.0001411432604093,13714,720,0.0508115737473535,2,0.17609125905568124,4.318079185590317e-05
336,11665,337,speak,110,0,0,speak,speak,speak,NNS,252,0.0077628793225123,37070,27720,1.9562455892731123,2,0.17609125905568124,4.313852229920053e-05
3501,7120,3502,latch,6,0,0,latch,latch,latch,NN,356,0.0004234297812279,21012,2136,0.1507410021171489,2,0.17609125905568124,4.3093136635087e-05
11404,3701,11405,divulge,1,0,0,divulg,divulg,divulg,JJ,361,7.057163020465773e-05,11405,361,0.0254763585038814,1,0.47712125471966244,4.248820114160581e-05
9774,10968,9775,selves,1,0,0,selv,selv,selv,NN,361,7.057163020465773e-05,9775,361,0.0254763585038814,1,0.47712125471966244,4.248820114160581e-05
12240,9013,12241,perceptible,1,0,0,percept,percept,percept,NN,361,7.057163020465773e-05,12241,361,0.0254763585038814,1,0.47712125471966244,4.248820114160581e-05
2921,8755,2922,pack,7,0,0,pack,pack,pack,NN,355,0.0004940014114326,20454,2485,0.1753705010585744,2,0.17609125905568124,4.179151320251591e-05
11478,2805,11479,cortège,1,0,0,cortèg,cortèg,cortèg,VBG,361,7.057163020465773e-05,11479,361,0.0254763585038814,1,0.47712125471966244,4.162739035593824e-05
13696,8051,13697,moons,1,0,0,moon,moon,moon,JJ,361,7.057163020465773e-05,13697,361,0.0254763585038814,1,0.47712125471966244,4.162739035593824e-05
3737,8876,3738,parting,5,0,0,part,part,part,VBN,357,0.0003528581510232,18690,1785,0.125970359915314,1,0.47712125471966244,4.162739035593824e-05
8779,14166,8780,æt,1,0,0,æt,æt,æt,NN,361,7.057163020465773e-05,8780,361,0.0254763585038814,2,0.17609125905568124,4.159376531813051e-05
10863,6488,10864,inexpressibly,1,0,0,inexpress,inexpress,inexpress,NN,361,7.057163020465773e-05,10864,361,0.0254763585038814,2,0.17609125905568124,4.159376531813051e-05
4979,8207,4980,napkin,3,0,0,napkin,napkin,napkin,NN,359,0.0002117148906139,14940,1077,0.0760056457304163,2,0.17609125905568124,4.1216060395761214e-05
14109,7814,14110,menial,1,0,0,menial,menial,men,NN,361,7.057163020465773e-05,14110,361,0.0254763585038814,2,0.17609125905568124,4.0985902055513234e-05
2571,4833,2572,fireman,9,0,0,fireman,fireman,firem,NN,353,0.0006351446718419,23148,3177,0.2242060691601976,2,0.17609125905568124,4.088708506945527e-05
3014,13914,3015,win,7,0,0,win,win,win,RB,355,0.0004940014114326,21105,2485,0.1753705010585744,2,0.17609125905568124,4.08449294250221e-05
6589,8296,6590,neutral,2,0,0,neutral,neutral,neut,NN,360,0.0001411432604093,13180,720,0.0508115737473535,2,0.17609125905568124,4.07882680833973e-05
12859,10228,12860,renamed,1,0,0,renam,renam,renam,IN,361,7.057163020465773e-05,12860,361,0.0254763585038814,2,0.17609125905568124,4.07882680833973e-05
7247,5458,7248,glimmered,2,0,0,glimmer,glimmer,glim,NN,360,0.0001411432604093,14496,720,0.0508115737473535,2,0.17609125905568124,4.0277636188367795e-05
11623,3200,11624,deceitful,1,0,0,deceit,deceit,deceit,VBD,361,7.057163020465773e-05,11624,361,0.0254763585038814,2,0.17609125905568124,3.968750864262249e-05
6486,10954,6487,seizing,2,0,0,seiz,seiz,seiz,JJ,360,0.0001411432604093,12974,720,0.0508115737473535,1,0.47712125471966244,3.959841104819176e-05
12213,9004,12214,pent,1,0,0,pent,pent,pent,JJ,361,7.057163020465773e-05,12214,361,0.0254763585038814,1,0.47712125471966244,3.959841104819176e-05
8878,12112,8879,stupefying,1,0,0,stupefi,stupefi,stupefy,NN,361,7.057163020465773e-05,8879,361,0.0254763585038814,1,0.47712125471966244,3.959841104819176e-05
10365,5234,10366,furry,1,0,0,furri,furri,furry,VB,361,7.057163020465773e-05,10366,361,0.0254763585038814,1,0.47712125471966244,3.959841104819176e-05
4377,8498,4378,octagonal,4,0,0,octagon,octagon,octagon,NN,358,0.0002822865208186,17512,1432,0.1010585744530698,1,0.47712125471966244,3.959841104819176e-05
7542,2938,7543,crisis,2,0,0,crisi,crisi,cris,NN,360,0.0001411432604093,15086,720,0.0508115737473535,1,0.47712125471966244,3.959841104819176e-05
10291,5357,10292,geniuses,1,0,0,genius,genius,genius,NN,361,7.057163020465773e-05,10292,361,0.0254763585038814,1,0.47712125471966244,3.959841104819176e-05
817,8015,818,moments,40,0,0,moment,moment,mom,NNS,322,0.0028228652081863,32720,12880,0.9089625970359916,1,0.47712125471966244,3.959841104819176e-05
3097,4597,3098,fainted,7,0,0,faint,faint,faint,NN,355,0.0004940014114326,21686,2485,0.1753705010585744,1,0.47712125471966244,3.959841104819176e-05
5928,5302,5929,garments,3,0,0,garment,garment,gar,NNS,359,0.0002117148906139,17787,1077,0.0760056457304163,1,0.47712125471966244,3.959841104819176e-05
3098,9259,3099,plays,7,0,0,play,play,play,NNS,355,0.0004940014114326,21693,2485,0.1753705010585744,1,0.47712125471966244,3.959841104819176e-05
4147,4745,4148,fermor,4,0,0,fermor,fermor,ferm,NN,358,0.0002822865208186,16592,1432,0.1010585744530698,1,0.47712125471966244,3.959841104819176e-05
7118,4518,7119,explore,2,0,0,explor,explor,expl,RB,360,0.0001411432604093,14238,720,0.0508115737473535,1,0.47712125471966244,3.959841104819176e-05
12355,9189,12356,piping,1,0,0,pipe,pipe,pip,RB,361,7.057163020465773e-05,12356,361,0.0254763585038814,1,0.47712125471966244,3.9453329631491106e-05
9066,13935,9067,winningly,1,0,0,winningli,win,win,NN,361,7.057163020465773e-05,9067,361,0.0254763585038814,2,0.17609125905568124,3.92920128738517e-05
904,12344,905,swear,35,0,0,swear,swear,swear,NN,327,0.002470007057163,31675,11445,0.8076923076923077,2,0.17609125905568124,3.907805976153501e-05
11150,6071,11151,holiness,1,0,0,holi,holi,holy,NN,361,7.057163020465773e-05,11151,361,0.0254763585038814,2,0.17609125905568124,3.905046494382298e-05
13363,1709,13364,burlington,1,0,0,burlington,burlington,burlington,NNS,361,7.057163020465773e-05,13364,361,0.0254763585038814,2,0.17609125905568124,3.8476656538278444e-05
7678,13511,7679,vigorous,2,0,0,vigor,vigor,vig,JJ,360,0.0001411432604093,15358,720,0.0508115737473535,2,0.17609125905568124,3.843127087416492e-05
5608,191,5609,acquaintance,3,0,0,acquaint,acquaint,acquaint,NN,359,0.0002117148906139,16827,1077,0.0760056457304163,2,0.17609125905568124,3.776504673918318e-05
1444,5014,1445,footsteps,19,0,0,footstep,footstep,footstep,NNS,343,0.0013408609738884,27455,6517,0.4599153140437544,2,0.17609125905568124,3.7719661075069654e-05
13981,7660,13982,marquesas,1,0,0,marquesa,marquesa,marquesa,MD,361,7.057163020465773e-05,13982,361,0.0254763585038814,2,0.17609125905568124,3.7526842741104284e-05
13400,7204,13401,legerdemain,1,0,0,legerdemain,legerdemain,legerdemain,NN,361,7.057163020465773e-05,13401,361,0.0254763585038814,2,0.17609125905568124,3.688328387341454e-05
346,10945,347,seems,105,0,0,seem,seem,seem,NN,257,0.007410021171489,36435,26985,1.904375441072689,1,0.47712125471966244,3.641845812137641e-05
6635,11395,6636,slay,2,0,0,slay,slay,slay,NN,360,0.0001411432604093,13272,720,0.0508115737473535,1,0.47712125471966244,3.641845812137641e-05
869,7154,870,le,37,0,0,le,le,le,NNS,325,0.0026111503175723,32190,12025,0.8486238532110092,1,0.47712125471966244,3.641845812137641e-05
