book_id,chap_num,para_num,para_str
174,1,11,"“Too much of yourself in it! Upon my word, Basil, I didn’t know you
were so vain; and I really can’t see any resemblance between you, with
your rugged strong face and your coal - black hair, and this young
Adonis, who looks as if he was made out of ivory and rose - leaves. Why,
my dear Basil, he is a Narcissus, and you — well, of course you have an
intellectual expression and all that. But beauty, real beauty, ends
where an intellectual expression begins. Intellect is in itself a mode
of exaggeration, and destroys the harmony of any face. The moment one
sits down to think, one becomes all nose, or all forehead, or something
horrid. Look at the successful men in any of the learned professions.
How perfectly hideous they are! Except, of course, in the Church. But
then in the Church they don’t think. A bishop keeps on saying at the
age of eighty what he was told to say when he was a boy of eighteen,
and as a natural consequence he always looks absolutely delightful.
Your mysterious young friend, whose name you have never told me, but
whose picture really fascinates me, never thinks. I feel quite sure of
that. He is some brainless beautiful creature who should be always here
in winter when we have no flowers to look at, and always here in summer
when we want something to chill our intelligence. Don’t flatter
yourself, Basil: you are not in the least like him.”"
174,1,12,"“You don’t understand me, Harry,” answered the artist. “Of course I am
not like him. I know that perfectly well. Indeed, I should be sorry to
look like him. You shrug your shoulders? I am telling you the truth.
There is a fatality about all physical and intellectual distinction,
the sort of fatality that seems to dog through history the faltering
steps of kings. It is better not to be different from one’s fellows.
The ugly and the stupid have the best of it in this world. They can sit
at their ease and gape at the play. If they know nothing of victory,
they are at least spared the knowledge of defeat. They live as we all
should live — undisturbed, indifferent, and without disquiet. They
neither bring ruin upon others, nor ever receive it from alien hands.
Your rank and wealth, Harry; my brains, such as they are — my art,
whatever it may be worth; Dorian Gray’s good looks — we shall all suffer
for what the gods have given us, suffer terribly.”"
174,1,13,"“Dorian Gray? Is that his name?” asked Lord Henry, walking across the
studio towards Basil Hallward."
174,1,14,"“Yes, that is his name. I didn’t intend to tell it to you.”"
174,1,15,“But why not?”
174,1,16,"“Oh, I can’t explain. When I like people immensely, I never tell their
names to any one. It is like surrendering a part of them. I have grown
to love secrecy. It seems to be the one thing that can make modern life
mysterious or marvellous to us. The commonest thing is delightful if
one only hides it. When I leave town now I never tell my people where I
am going. If I did, I would lose all my pleasure. It is a silly habit,
I dare say, but somehow it seems to bring a great deal of romance into
one’s life. I suppose you think me awfully foolish about it?”"
174,1,17,"“Not at all,” answered Lord Henry, “not at all, my dear Basil. You seem
to forget that I am married, and the one charm of marriage is that it
makes a life of deception absolutely necessary for both parties. I
never know where my wife is, and my wife never knows what I am doing.
When we meet — we do meet occasionally, when we dine out together, or go
down to the Duke’s — we tell each other the most absurd stories with the
most serious faces. My wife is very good at it — much better, in fact,
than I am. She never gets confused over her dates, and I always do. But
when she does find me out, she makes no row at all. I sometimes wish
she would; but she merely laughs at me.”"
174,1,18,"“I hate the way you talk about your married life, Harry,” said Basil
Hallward, strolling towards the door that led into the garden. “I
believe that you are really a very good husband, but that you are
thoroughly ashamed of your own virtues. You are an extraordinary
fellow. You never say a moral thing, and you never do a wrong thing.
Your cynicism is simply a pose.”"
174,1,19,"“Being natural is simply a pose, and the most irritating pose I know,”
cried Lord Henry, laughing; and the two young men went out into the
garden together and ensconced themselves on a long bamboo seat that
stood in the shade of a tall laurel bush. The sunlight slipped over the
polished leaves. In the grass, white daisies were tremulous."
174,1,20,"After a pause, Lord Henry pulled out his watch. “I am afraid I must be
going, Basil,” he murmured, “and before I go, I insist on your
answering a question I put to you some time ago.”"
174,1,21,"“What is that?” said the painter, keeping his eyes fixed on the ground."
174,1,22,“You know quite well.”
174,1,23,"“I do not, Harry.”"
174,1,24,"“Well, I will tell you what it is. I want you to explain to me why you
won’t exhibit Dorian Gray’s picture. I want the real reason.”"
174,1,25,“I told you the real reason.”
174,1,26,"“No, you did not. You said it was because there was too much of
yourself in it. Now, that is childish.”"
174,1,27,"“Harry,” said Basil Hallward, looking him straight in the face, “every
portrait that is painted with feeling is a portrait of the artist, not
of the sitter. The sitter is merely the accident, the occasion. It is
not he who is revealed by the painter; it is rather the painter who, on
the coloured canvas, reveals himself. The reason I will not exhibit
this picture is that I am afraid that I have shown in it the secret of
my own soul.”"
174,1,28,Lord Henry laughed. “And what is that?” he asked.
174,1,29,"“I will tell you,” said Hallward; but an expression of perplexity came
over his face."
174,1,30,"“I am all expectation, Basil,” continued his companion, glancing at
him."
174,1,31,"“Oh, there is really very little to tell, Harry,” answered the painter;
“and I am afraid you will hardly understand it. Perhaps you will hardly
believe it.”"
174,1,32,"Lord Henry smiled, and leaning down, plucked a pink - petalled daisy from
the grass and examined it. “I am quite sure I shall understand it,” he
replied, gazing intently at the little golden, white - feathered disk,
“and as for believing things, I can believe anything, provided that it
is quite incredible.”"
174,1,33,"The wind shook some blossoms from the trees, and the heavy
lilac - blooms, with their clustering stars, moved to and fro in the
languid air. A grasshopper began to chirrup by the wall, and like a
blue thread a long thin dragon - fly floated past on its brown gauze
wings. Lord Henry felt as if he could hear Basil Hallward’s heart
beating, and wondered what was coming."
174,1,34,"“The story is simply this,” said the painter after some time. “Two
months ago I went to a crush at Lady Brandon’s. You know we poor
artists have to show ourselves in society from time to time, just to
remind the public that we are not savages. With an evening coat and a
white tie, as you told me once, anybody, even a stock - broker, can gain
a reputation for being civilized. Well, after I had been in the room
about ten minutes, talking to huge overdressed dowagers and tedious
academicians, I suddenly became conscious that some one was looking at
me. I turned half - way round and saw Dorian Gray for the first time.
When our eyes met, I felt that I was growing pale. A curious sensation
of terror came over me. I knew that I had come face to face with some
one whose mere personality was so fascinating that, if I allowed it to
do so, it would absorb my whole nature, my whole soul, my very art
itself. I did not want any external influence in my life. You know
yourself, Harry, how independent I am by nature. I have always been my
own master; had at least always been so, till I met Dorian Gray.
Then — but I don’t know how to explain it to you. Something seemed to
tell me that I was on the verge of a terrible crisis in my life. I had
a strange feeling that fate had in store for me exquisite joys and
exquisite sorrows. I grew afraid and turned to quit the room. It was
not conscience that made me do so: it was a sort of cowardice. I take
no credit to myself for trying to escape.”"
174,1,35,"“Conscience and cowardice are really the same things, Basil. Conscience
is the trade - name of the firm. That is all.”"
174,1,36,"“I don’t believe that, Harry, and I don’t believe you do either.
However, whatever was my motive — and it may have been pride, for I used
to be very proud — I certainly struggled to the door. There, of course, I
stumbled against Lady Brandon. ‘You are not going to run away so soon,
Mr. Hallward?’ she screamed out. You know her curiously shrill voice?”"
174,1,37,"“Yes; she is a peacock in everything but beauty,” said Lord Henry,
pulling the daisy to bits with his long nervous fingers."
174,1,38,"“I could not get rid of her. She brought me up to royalties, and people
with stars and garters, and elderly ladies with gigantic tiaras and
parrot noses. She spoke of me as her dearest friend. I had only met her
once before, but she took it into her head to lionize me. I believe
some picture of mine had made a great success at the time, at least had
been chattered about in the penny newspapers, which is the
nineteenth - century standard of immortality. Suddenly I found myself
face to face with the young man whose personality had so strangely
stirred me. We were quite close, almost touching. Our eyes met again.
It was reckless of me, but I asked Lady Brandon to introduce me to him.
Perhaps it was not so reckless, after all. It was simply inevitable. We
would have spoken to each other without any introduction. I am sure of
that. Dorian told me so afterwards. He, too, felt that we were destined
to know each other.”"
174,1,39,"“And how did Lady Brandon describe this wonderful young man?” asked his
companion. “I know she goes in for giving a rapid _précis_ of all her
guests. I remember her bringing me up to a truculent and red - faced old
gentleman covered all over with orders and ribbons, and hissing into my
ear, in a tragic whisper which must have been perfectly audible to
everybody in the room, the most astounding details. I simply fled. I
like to find out people for myself. But Lady Brandon treats her guests
exactly as an auctioneer treats his goods. She either explains them
entirely away, or tells one everything about them except what one wants
to know.”"
174,1,40,"“Poor Lady Brandon! You are hard on her, Harry!” said Hallward
listlessly."
174,1,41,"“My dear fellow, she tried to found a _salon_, and only succeeded in
opening a restaurant. How could I admire her? But tell me, what did she
say about Mr. Dorian Gray?”"
174,1,42,"“Oh, something like, ‘Charming boy — poor dear mother and I absolutely
inseparable. Quite forget what he does — afraid he — doesn’t do
anything — oh, yes, plays the piano — or is it the violin, dear Mr. Gray?’
Neither of us could help laughing, and we became friends at once.”"
174,1,43,"“Laughter is not at all a bad beginning for a friendship, and it is far
the best ending for one,” said the young lord, plucking another daisy."
174,1,44,"Hallward shook his head. “You don’t understand what friendship is,
Harry,” he murmured — “or what enmity is, for that matter. You like every
one; that is to say, you are indifferent to every one.”"
174,1,45,"“How horribly unjust of you!” cried Lord Henry, tilting his hat back
and looking up at the little clouds that, like ravelled skeins of
glossy white silk, were drifting across the hollowed turquoise of the
summer sky. “Yes; horribly unjust of you. I make a great difference
between people. I choose my friends for their good looks, my
acquaintances for their good characters, and my enemies for their good
intellects. A man cannot be too careful in the choice of his enemies. I
have not got one who is a fool. They are all men of some intellectual
power, and consequently they all appreciate me. Is that very vain of
me? I think it is rather vain.”"
174,1,46,"“I should think it was, Harry. But according to your category I must be
merely an acquaintance.”"
174,1,47,"“My dear old Basil, you are much more than an acquaintance.”"
174,1,48,"“And much less than a friend. A sort of brother, I suppose?”"
174,1,49,"“Oh, brothers! I don’t care for brothers. My elder brother won’t die,
and my younger brothers seem never to do anything else.”"
174,1,50,"“Harry!” exclaimed Hallward, frowning."
174,1,51,"“My dear fellow, I am not quite serious. But I can’t help detesting my
relations. I suppose it comes from the fact that none of us can stand
other people having the same faults as ourselves. I quite sympathize
with the rage of the English democracy against what they call the vices
of the upper orders. The masses feel that drunkenness, stupidity, and
immorality should be their own special property, and that if any one of
us makes an ass of himself, he is poaching on their preserves. When
poor Southwark got into the divorce court, their indignation was quite
magnificent. And yet I don’t suppose that ten per cent of the
proletariat live correctly.”"
174,1,52,"“I don’t agree with a single word that you have said, and, what is
more, Harry, I feel sure you don’t either.”"
174,1,53,"Lord Henry stroked his pointed brown beard and tapped the toe of his
patent - leather boot with a tasselled ebony cane. “How English you are
Basil! That is the second time you have made that observation. If one
puts forward an idea to a true Englishman — always a rash thing to do — he
never dreams of considering whether the idea is right or wrong. The
only thing he considers of any importance is whether one believes it
oneself. Now, the value of an idea has nothing whatsoever to do with
the sincerity of the man who expresses it. Indeed, the probabilities
are that the more insincere the man is, the more purely intellectual
will the idea be, as in that case it will not be coloured by either his
wants, his desires, or his prejudices. However, I don’t propose to
discuss politics, sociology, or metaphysics with you. I like persons
better than principles, and I like persons with no principles better
than anything else in the world. Tell me more about Mr. Dorian Gray.
How often do you see him?”"
174,1,54,"“Every day. I couldn’t be happy if I didn’t see him every day. He is
absolutely necessary to me.”"
174,1,55,"“How extraordinary! I thought you would never care for anything but
your art.”"
174,1,56,"“He is all my art to me now,” said the painter gravely. “I sometimes
think, Harry, that there are only two eras of any importance in the
world’s history. The first is the appearance of a new medium for art,
and the second is the appearance of a new personality for art also.
What the invention of oil - painting was to the Venetians, the face of
Antinous was to late Greek sculpture, and the face of Dorian Gray will
some day be to me. It is not merely that I paint from him, draw from
him, sketch from him. Of course, I have done all that. But he is much
more to me than a model or a sitter. I won’t tell you that I am
dissatisfied with what I have done of him, or that his beauty is such
that art cannot express it. There is nothing that art cannot express,
and I know that the work I have done, since I met Dorian Gray, is good
work, is the best work of my life. But in some curious way — I wonder
will you understand me? — his personality has suggested to me an entirely
new manner in art, an entirely new mode of style. I see things
differently, I think of them differently. I can now recreate life in a
way that was hidden from me before. ‘A dream of form in days of
thought’ — who is it who says that? I forget; but it is what Dorian Gray
has been to me. The merely visible presence of this lad — for he seems to
me little more than a lad, though he is really over twenty — his merely
visible presence — ah! I wonder can you realize all that that means?
Unconsciously he defines for me the lines of a fresh school, a school
that is to have in it all the passion of the romantic spirit, all the
perfection of the spirit that is Greek. The harmony of soul and
body — how much that is! We in our madness have separated the two, and
have invented a realism that is vulgar, an ideality that is void.
Harry! if you only knew what Dorian Gray is to me! You remember that
landscape of mine, for which Agnew offered me such a huge price but
which I would not part with? It is one of the best things I have ever
done. And why is it so? Because, while I was painting it, Dorian Gray
sat beside me. Some subtle influence passed from him to me, and for the
first time in my life I saw in the plain woodland the wonder I had
always looked for and always missed.”"
174,1,57,"“Basil, this is extraordinary! I must see Dorian Gray.”"
174,1,58,"Hallward got up from the seat and walked up and down the garden. After
some time he came back. “Harry,” he said, “Dorian Gray is to me simply
a motive in art. You might see nothing in him. I see everything in him.
He is never more present in my work than when no image of him is there.
He is a suggestion, as I have said, of a new manner. I find him in the
curves of certain lines, in the loveliness and subtleties of certain
colours. That is all.”"
174,1,59,“Then why won’t you exhibit his portrait?” asked Lord Henry.
174,1,60,"“Because, without intending it, I have put into it some expression of
all this curious artistic idolatry, of which, of course, I have never
cared to speak to him. He knows nothing about it. He shall never know
anything about it. But the world might guess it, and I will not bare my
soul to their shallow prying eyes. My heart shall never be put under
their microscope. There is too much of myself in the thing, Harry — too
much of myself!”"
174,1,61,"“Poets are not so scrupulous as you are. They know how useful passion
is for publication. Nowadays a broken heart will run to many editions.”"
174,1,62,"“I hate them for it,” cried Hallward. “An artist should create
beautiful things, but should put nothing of his own life into them. We
live in an age when men treat art as if it were meant to be a form of
autobiography. We have lost the abstract sense of beauty. Some day I
will show the world what it is; and for that reason the world shall
never see my portrait of Dorian Gray.”"
174,1,63,"“I think you are wrong, Basil, but I won’t argue with you. It is only
the intellectually lost who ever argue. Tell me, is Dorian Gray very
fond of you?”"
174,1,64,"The painter considered for a few moments. “He likes me,” he answered
after a pause; “I know he likes me. Of course I flatter him dreadfully.
I find a strange pleasure in saying things to him that I know I shall
be sorry for having said. As a rule, he is charming to me, and we sit
in the studio and talk of a thousand things. Now and then, however, he
is horribly thoughtless, and seems to take a real delight in giving me
pain. Then I feel, Harry, that I have given away my whole soul to some
one who treats it as if it were a flower to put in his coat, a bit of
decoration to charm his vanity, an ornament for a summer’s day.”"
174,1,65,"“Days in summer, Basil, are apt to linger,” murmured Lord Henry.
“Perhaps you will tire sooner than he will. It is a sad thing to think
of, but there is no doubt that genius lasts longer than beauty. That
accounts for the fact that we all take such pains to over - educate
ourselves. In the wild struggle for existence, we want to have
something that endures, and so we fill our minds with rubbish and
facts, in the silly hope of keeping our place. The thoroughly
well - informed man — that is the modern ideal. And the mind of the
thoroughly well - informed man is a dreadful thing. It is like a
_bric - à - brac_ shop, all monsters and dust, with everything priced above
its proper value. I think you will tire first, all the same. Some day
you will look at your friend, and he will seem to you to be a little
out of drawing, or you won’t like his tone of colour, or something. You
will bitterly reproach him in your own heart, and seriously think that
he has behaved very badly to you. The next time he calls, you will be
perfectly cold and indifferent. It will be a great pity, for it will
alter you. What you have told me is quite a romance, a romance of art
one might call it, and the worst of having a romance of any kind is
that it leaves one so unromantic.”"
174,1,66,"“Harry, don’t talk like that. As long as I live, the personality of
Dorian Gray will dominate me. You can’t feel what I feel. You change
too often.”"
174,1,67,"“Ah, my dear Basil, that is exactly why I can feel it. Those who are
faithful know only the trivial side of love: it is the faithless who
know love’s tragedies.” And Lord Henry struck a light on a dainty
silver case and began to smoke a cigarette with a self - conscious and
satisfied air, as if he had summed up the world in a phrase. There was
a rustle of chirruping sparrows in the green lacquer leaves of the ivy,
and the blue cloud - shadows chased themselves across the grass like
swallows. How pleasant it was in the garden! And how delightful other
people’s emotions were! — much more delightful than their ideas, it
seemed to him. One’s own soul, and the passions of one’s friends — those
were the fascinating things in life. He pictured to himself with silent
amusement the tedious luncheon that he had missed by staying so long
with Basil Hallward. Had he gone to his aunt’s, he would have been sure
to have met Lord Goodbody there, and the whole conversation would have
been about the feeding of the poor and the necessity for model
lodging - houses. Each class would have preached the importance of those
virtues, for whose exercise there was no necessity in their own lives.
The rich would have spoken on the value of thrift, and the idle grown
eloquent over the dignity of labour. It was charming to have escaped
all that! As he thought of his aunt, an idea seemed to strike him. He
turned to Hallward and said, “My dear fellow, I have just remembered.”"
174,1,68,"“Remembered what, Harry?”"
174,1,69,“Where I heard the name of Dorian Gray.”
174,1,70,"“Where was it?” asked Hallward, with a slight frown."
174,1,71,"“Don’t look so angry, Basil. It was at my aunt, Lady Agatha’s. She told
me she had discovered a wonderful young man who was going to help her
in the East End, and that his name was Dorian Gray. I am bound to state
that she never told me he was good - looking. Women have no appreciation
of good looks; at least, good women have not. She said that he was very
earnest and had a beautiful nature. I at once pictured to myself a
creature with spectacles and lank hair, horribly freckled, and tramping
about on huge feet. I wish I had known it was your friend.”"
174,1,72,"“I am very glad you didn’t, Harry.”"
174,1,73,“Why?”
174,1,74,“I don’t want you to meet him.”
174,1,75,“You don’t want me to meet him?”
174,1,76,“No.”
174,1,77,"“Mr. Dorian Gray is in the studio, sir,” said the butler, coming into
the garden."
174,1,78,"“You must introduce me now,” cried Lord Henry, laughing."
174,1,79,"The painter turned to his servant, who stood blinking in the sunlight.
“Ask Mr. Gray to wait, Parker: I shall be in in a few moments.” The man
bowed and went up the walk."
174,1,80,"Then he looked at Lord Henry. “Dorian Gray is my dearest friend,” he
said. “He has a simple and a beautiful nature. Your aunt was quite
right in what she said of him. Don’t spoil him. Don’t try to influence
him. Your influence would be bad. The world is wide, and has many
marvellous people in it. Don’t take away from me the one person who
gives to my art whatever charm it possesses: my life as an artist
depends on him. Mind, Harry, I trust you.” He spoke very slowly, and
the words seemed wrung out of him almost against his will."
174,1,81,"“What nonsense you talk!” said Lord Henry, smiling, and taking Hallward
by the arm, he almost led him into the house."
174,2,1,"As they entered they saw Dorian Gray. He was seated at the piano, with
his back to them, turning over the pages of a volume of Schumann’s
“Forest Scenes.” “You must lend me these, Basil,” he cried. “I want to
learn them. They are perfectly charming.”"
174,2,2,"“That entirely depends on how you sit to - day, Dorian.”"
174,2,3,"“Oh, I am tired of sitting, and I don’t want a life - sized portrait of
myself,” answered the lad, swinging round on the music - stool in a
wilful, petulant manner. When he caught sight of Lord Henry, a faint
blush coloured his cheeks for a moment, and he started up. “I beg your
pardon, Basil, but I didn’t know you had any one with you.”"
174,2,4,"“This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I
have just been telling him what a capital sitter you were, and now you
have spoiled everything.”"
174,2,5,"“You have not spoiled my pleasure in meeting you, Mr. Gray,” said Lord
Henry, stepping forward and extending his hand. “My aunt has often
spoken to me about you. You are one of her favourites, and, I am
afraid, one of her victims also.”"
174,2,6,"“I am in Lady Agatha’s black books at present,” answered Dorian with a
funny look of penitence. “I promised to go to a club in Whitechapel
with her last Tuesday, and I really forgot all about it. We were to
have played a duet together — three duets, I believe. I don’t know what
she will say to me. I am far too frightened to call.”"
174,2,7,"“Oh, I will make your peace with my aunt. She is quite devoted to you.
And I don’t think it really matters about your not being there. The
audience probably thought it was a duet. When Aunt Agatha sits down to
the piano, she makes quite enough noise for two people.”"
174,2,8,"“That is very horrid to her, and not very nice to me,” answered Dorian,
laughing."
174,2,9,"Lord Henry looked at him. Yes, he was certainly wonderfully handsome,
with his finely curved scarlet lips, his frank blue eyes, his crisp
gold hair. There was something in his face that made one trust him at
once. All the candour of youth was there, as well as all youth’s
passionate purity. One felt that he had kept himself unspotted from the
world. No wonder Basil Hallward worshipped him."
174,2,10,"“You are too charming to go in for philanthropy, Mr. Gray — far too
charming.” And Lord Henry flung himself down on the divan and opened
his cigarette - case."
174,2,11,"The painter had been busy mixing his colours and getting his brushes
ready. He was looking worried, and when he heard Lord Henry’s last
remark, he glanced at him, hesitated for a moment, and then said,
“Harry, I want to finish this picture to - day. Would you think it
awfully rude of me if I asked you to go away?”"
174,2,12,"Lord Henry smiled and looked at Dorian Gray. “Am I to go, Mr. Gray?” he
asked."
174,2,13,"“Oh, please don’t, Lord Henry. I see that Basil is in one of his sulky
moods, and I can’t bear him when he sulks. Besides, I want you to tell
me why I should not go in for philanthropy.”"
174,2,14,"“I don’t know that I shall tell you that, Mr. Gray. It is so tedious a
subject that one would have to talk seriously about it. But I certainly
shall not run away, now that you have asked me to stop. You don’t
really mind, Basil, do you? You have often told me that you liked your
sitters to have some one to chat to.”"
174,2,15,"Hallward bit his lip. “If Dorian wishes it, of course you must stay.
Dorian’s whims are laws to everybody, except himself.”"
174,2,16,"Lord Henry took up his hat and gloves. “You are very pressing, Basil,
but I am afraid I must go. I have promised to meet a man at the
Orleans. Good - bye, Mr. Gray. Come and see me some afternoon in Curzon
Street. I am nearly always at home at five o’clock. Write to me when
you are coming. I should be sorry to miss you.”"
174,2,17,"“Basil,” cried Dorian Gray, “if Lord Henry Wotton goes, I shall go,
too. You never open your lips while you are painting, and it is
horribly dull standing on a platform and trying to look pleasant. Ask
him to stay. I insist upon it.”"
174,2,18,"“Stay, Harry, to oblige Dorian, and to oblige me,” said Hallward,
gazing intently at his picture. “It is quite true, I never talk when I
am working, and never listen either, and it must be dreadfully tedious
for my unfortunate sitters. I beg you to stay.”"
174,2,19,“But what about my man at the Orleans?”
174,2,20,"The painter laughed. “I don’t think there will be any difficulty about
that. Sit down again, Harry. And now, Dorian, get up on the platform,
and don’t move about too much, or pay any attention to what Lord Henry
says. He has a very bad influence over all his friends, with the single
exception of myself.”"
174,2,21,"Dorian Gray stepped up on the dais with the air of a young Greek
martyr, and made a little _moue_ of discontent to Lord Henry, to whom
he had rather taken a fancy. He was so unlike Basil. They made a
delightful contrast. And he had such a beautiful voice. After a few
moments he said to him, “Have you really a very bad influence, Lord
Henry? As bad as Basil says?”"
174,2,22,"“There is no such thing as a good influence, Mr. Gray. All influence is
immoral — immoral from the scientific point of view.”"
174,2,23,“Why?”
174,2,24,"“Because to influence a person is to give him one’s own soul. He does
not think his natural thoughts, or burn with his natural passions. His
virtues are not real to him. His sins, if there are such things as
sins, are borrowed. He becomes an echo of some one else’s music, an
actor of a part that has not been written for him. The aim of life is
self - development. To realize one’s nature perfectly — that is what each
of us is here for. People are afraid of themselves, nowadays. They have
forgotten the highest of all duties, the duty that one owes to one’s
self. Of course, they are charitable. They feed the hungry and clothe
the beggar. But their own souls starve, and are naked. Courage has gone
out of our race. Perhaps we never really had it. The terror of society,
which is the basis of morals, the terror of God, which is the secret of
religion — these are the two things that govern us. And yet — ”"
174,2,25,"“Just turn your head a little more to the right, Dorian, like a good
boy,” said the painter, deep in his work and conscious only that a look
had come into the lad’s face that he had never seen there before."
174,2,26,"“And yet,” continued Lord Henry, in his low, musical voice, and with
that graceful wave of the hand that was always so characteristic of
him, and that he had even in his Eton days, “I believe that if one man
were to live out his life fully and completely, were to give form to
every feeling, expression to every thought, reality to every dream — I
believe that the world would gain such a fresh impulse of joy that we
would forget all the maladies of mediævalism, and return to the
Hellenic ideal — to something finer, richer than the Hellenic ideal, it
may be. But the bravest man amongst us is afraid of himself. The
mutilation of the savage has its tragic survival in the self - denial
that mars our lives. We are punished for our refusals. Every impulse
that we strive to strangle broods in the mind and poisons us. The body
sins once, and has done with its sin, for action is a mode of
purification. Nothing remains then but the recollection of a pleasure,
or the luxury of a regret. The only way to get rid of a temptation is
to yield to it. Resist it, and your soul grows sick with longing for
the things it has forbidden to itself, with desire for what its
monstrous laws have made monstrous and unlawful. It has been said that
the great events of the world take place in the brain. It is in the
brain, and the brain only, that the great sins of the world take place
also. You, Mr. Gray, you yourself, with your rose - red youth and your
rose - white boyhood, you have had passions that have made you afraid,
thoughts that have filled you with terror, day - dreams and sleeping
dreams whose mere memory might stain your cheek with shame — ”"
174,2,27,"“Stop!” faltered Dorian Gray, “stop! you bewilder me. I don’t know what
to say. There is some answer to you, but I cannot find it. Don’t speak.
Let me think. Or, rather, let me try not to think.”"
174,2,28,"For nearly ten minutes he stood there, motionless, with parted lips and
eyes strangely bright. He was dimly conscious that entirely fresh
influences were at work within him. Yet they seemed to him to have come
really from himself. The few words that Basil’s friend had said to
him — words spoken by chance, no doubt, and with wilful paradox in
them — had touched some secret chord that had never been touched before,
but that he felt was now vibrating and throbbing to curious pulses."
174,2,29,"Music had stirred him like that. Music had troubled him many times. But
music was not articulate. It was not a new world, but rather another
chaos, that it created in us. Words! Mere words! How terrible they
were! How clear, and vivid, and cruel! One could not escape from them.
And yet what a subtle magic there was in them! They seemed to be able
to give a plastic form to formless things, and to have a music of their
own as sweet as that of viol or of lute. Mere words! Was there anything
so real as words?"
174,2,30,"Yes; there had been things in his boyhood that he had not understood.
He understood them now. Life suddenly became fiery - coloured to him. It
seemed to him that he had been walking in fire. Why had he not known
it?"
174,2,31,"With his subtle smile, Lord Henry watched him. He knew the precise
psychological moment when to say nothing. He felt intensely interested.
He was amazed at the sudden impression that his words had produced,
and, remembering a book that he had read when he was sixteen, a book
which had revealed to him much that he had not known before, he
wondered whether Dorian Gray was passing through a similar experience.
He had merely shot an arrow into the air. Had it hit the mark? How
fascinating the lad was!"
174,2,32,"Hallward painted away with that marvellous bold touch of his, that had
the true refinement and perfect delicacy that in art, at any rate comes
only from strength. He was unconscious of the silence."
174,2,33,"“Basil, I am tired of standing,” cried Dorian Gray suddenly. “I must go
out and sit in the garden. The air is stifling here.”"
174,2,34,"“My dear fellow, I am so sorry. When I am painting, I can’t think of
anything else. But you never sat better. You were perfectly still. And
I have caught the effect I wanted — the half - parted lips and the bright
look in the eyes. I don’t know what Harry has been saying to you, but
he has certainly made you have the most wonderful expression. I suppose
he has been paying you compliments. You mustn’t believe a word that he
says.”"
174,2,35,"“He has certainly not been paying me compliments. Perhaps that is the
reason that I don’t believe anything he has told me.”"
174,2,36,"“You know you believe it all,” said Lord Henry, looking at him with his
dreamy languorous eyes. “I will go out to the garden with you. It is
horribly hot in the studio. Basil, let us have something iced to drink,
something with strawberries in it.”"
